IdAluno;Resultado;13>;14>;14>14>;14>14>14>;14>14>31>;14>31>;14>31>14>;14>31>14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>31>48>29>;14>32>;14>32>31>;14>38>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>42>;14>48>;14>49>;14>7>;14>8>;14>8>7>;16>;16>31>;16>31>14>;16>31>30>;16>31>31>;16>31>48>;17>;17>30>;17>30>30>;17>30>31>;17>31>;28>;28>30>;29>;29>14>;29>29>;29>30>;29>4>;29>48>;29>48>29>;30>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>48>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>41>;30>48>;30>48>30>;31>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>14>31>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>31>48>;31>32>;31>32>14>;31>32>31>;31>41>;31>41>41>;31>48>;31>48>29>;31>48>29>48>;31>48>30>;31>48>48>;32>;32>14>;32>14>31>;32>31>;32>31>30>;33>;34>;34>36>;34>36>37>;34>37>;36>;36>34>;36>34>37>;36>36>;36>37>;37>;37>34>;37>36>;37>38>;38>;38>14>;38>14>31>;38>33>;38>36>;39>;4>;41>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;42>;47>;47>48>;48>;48>13>;48>14>;48>14>31>;48>29>;48>29>14>;48>29>30>;48>29>48>;48>29>48>29>;48>30>;48>30>30>;48>31>;48>48>;48>48>29>;48>48>48>;48>49>;49>;49>14>;49>48>;49>49>;6>;6>6>;7>;7>14>;8>;8>7>
32933-4428;SUCESSO;0;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;3;0;1;1;0;0;0;0;0;0;2;2;0;0;0;0;1;0;0;0;1;0;0;4;0;0;0;0;3;1;5;0;0;0;4;0;3;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;14;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;3;1;0;0;2;0;2;1;0;3;2;1;0;1;7;1;0;5;0;1;1;0;0;0;2;1;0;0;0;1;0;0;0;3;0;0;0;1;0;0;12;0;0;0;4;0;2;0;3;0;0;5;0;0;0;3;0;0;2;1;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0
32935-4429;insucesso;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;1;0;0;1;3;0;0;1;0;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32948-4428;SUCESSO;1;30;1;0;1;18;0;0;4;0;0;0;1;4;0;1;1;1;0;0;1;2;0;2;0;0;1;0;0;0;0;3;3;0;0;0;0;1;0;0;0;1;0;0;9;2;0;2;0;4;4;16;1;1;0;5;0;2;0;0;0;0;0;0;0;4;0;3;1;0;0;0;0;3;0;32;1;1;1;0;8;1;1;0;1;0;0;0;1;1;0;0;2;5;0;0;2;0;0;0;1;1;6;4;1;0;0;0;0;0;0;0;2;2;1;1;1;5;1;1;0;1;2;0;0;0;6;0;0;1;2;0;0;13;0;3;0;6;3;2;2;0;0;0;15;1;0;0;9;2;2;3;3;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
32986-4428;insucesso;0;10;2;0;1;4;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;4;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;2;0;1;0;0;1;1;6;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;12;1;0;0;0;4;0;0;0;3;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;3;2;0;0;0;0;0;0;0;0;3;3;1;1;1;5;2;1;0;1;3;0;1;1;6;1;1;3;1;1;0;14;0;1;0;5;1;1;0;0;0;0;4;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
32995-4428;insucesso;0;14;4;1;3;8;3;2;0;0;0;0;0;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;6;4;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33165-4428;insucesso;2;59;3;0;0;22;3;1;5;1;2;1;0;3;0;1;2;1;0;0;1;3;0;2;0;1;0;2;0;0;0;1;1;1;0;0;0;3;1;0;0;2;0;0;4;0;0;0;2;0;0;26;2;2;1;7;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;36;10;7;1;0;8;1;0;0;3;1;1;0;0;0;0;0;0;4;1;0;0;1;0;1;2;1;3;1;0;0;2;2;1;1;1;0;3;3;1;0;1;4;2;1;0;0;3;1;1;1;7;1;0;2;1;2;2;32;0;1;0;8;1;2;0;1;2;2;10;1;2;0;3;0;0;0;0;3;1;0;4;0;2;0;4;0;3;0;0;0;0;0;0;0
33173-4224;SUCESSO;0;18;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;2;0;1;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;6;2;0;0;3;1;3;1;1;1;1;0;0;0;2;0;1;0;0;0;0;0;0;0;12;0;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;1;5;1;1;0;0;1;0;0;0;2;0;0;1;0;1;0;16;0;1;0;2;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;2;0
33384-4428;SUCESSO;0;2;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;4;0;0;0;3;0;2;0;0;0;0;0;1;2;1;0;1;0;0;0;1;1;2;1;3;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;1;0;0;0;1;0;0;3;0;0;0;1;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33521-4429;SUCESSO;1;15;5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;2;2;4;0;2;0;0;1;1;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;13;3;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;3;1;0;2;0;1;1;0;0;0;3;0;0;0;1;1;1;0;0;5;2;0;1;1;1;1;10;0;1;0;2;0;0;0;0;1;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;1;0;0;0;0;3;0
33790-4224;insucesso;0;8;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;0;2;0;0;0;0;0;1;1;1;1;0;0;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;4;0;0;0;2;1;1;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;2;1;4;1;0;0;2;3;0;1;1;4;0;0;3;0;0;1;11;0;1;1;3;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1;0;0;0;1;1;1;1
