IdAluno;Resultado;1>;14>;14>14>;14>14>31>;14>2>;14>2>14>;14>2>2>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>14>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>30>31>;14>31>31>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>49>;14>49>48>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;2>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>2>;2>2>31>;2>2>31>30>;2>2>41>;2>3>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;28>;28>30>;29>;3>;3>14>;3>2>;3>2>2>;30>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>2>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>31>30>31>;30>41>;30>48>;31>;31>14>;31>14>41>;31>2>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;31>48>30>;32>;32>31>;32>31>30>;32>31>30>30>;32>31>31>;38>;41>;41>14>;41>2>;41>2>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>7>;42>;46>;48>;48>14>;48>29>;48>30>;48>48>;48>48>48>;49>;49>48>;49>49>;49>49>48>;49>49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>31>;7>5>;7>5>5>;7>6>;8>
13342-4130;insucesso;1;11;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;0;0;0;0;1;0;0;1;1;1;1;1;0;0;10;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13420-6398;SUCESSO;0;26;2;0;6;2;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;2;0;1;0;0;0;0;12;0;1;4;2;0;0;0;0;1;1;0;1;1;0;0;0;0;0;9;3;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;3;3;0;1;11;2;1;0;7;0;1;0;0;0;0;0;4;3;0;0;0;0;1;0;0;0;1;0;0;0;0;0;23;3;1;0;1;1;6;0;0;3;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0
13511-6389;SUCESSO;1;40;1;1;6;1;2;0;0;0;0;0;0;20;0;12;2;2;0;0;0;0;2;0;0;0;0;0;7;0;2;0;0;0;0;0;0;1;0;0;3;3;2;8;7;0;2;9;1;0;1;0;2;1;0;1;0;1;1;0;1;0;0;0;2;0;0;0;0;34;5;2;2;2;0;4;4;0;8;1;0;2;0;0;0;0;0;0;1;0;1;3;2;0;1;12;32;0;0;0;25;2;6;0;0;0;0;0;0;0;1;8;2;2;1;0;2;0;1;0;0;0;0;0;18;0;0;0;2;1;1;0;0;0;0;0;0;0;1;16;6;2;1;5;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0
13564-6388;insucesso;0;30;3;0;1;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;2;0;0;0;0;0;1;1;0;0;0;0;3;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;5;3;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2;1;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;6;0;0;1;0;0;0;0;0;8;0;1;0;1;1;5;0;0;0;0;3;1;0;0;0;3;0;0;3;1;0;0
14004-4604;SUCESSO;1;22;1;0;7;0;4;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;1;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;14;0;0;0;0;4;2;0;1;0;3;1;1;1;0;0;0;0;0;0;0;0;8;2;0;0;0;1;0;0;0;7;2;0;2;1;1;0;0;0;0;1;0;0;1;0;0;0;0;9;0;0;0;5;0;4;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;10;0;2;1;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;2;2;1;1;0;1;1;0;0;0;1;0;0;1;1;0;0
14034-6398;SUCESSO;0;7;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;5;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;1;1;2;1;0;0;5;2;0;0;0;0;7;0;0;0;0;0;2;0;0;2;0;0;0;4;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4
15073-5714;insucesso;1;12;0;0;4;3;0;0;0;0;0;0;0;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;4;3;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;4;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15217-7098;SUCESSO;1;16;0;0;4;1;0;1;1;0;3;0;1;4;0;4;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;3;3;1;0;7;1;0;1;0;1;1;0;0;0;2;2;0;0;0;0;0;0;4;0;1;0;12;2;1;0;0;0;1;1;0;6;1;0;2;0;1;0;0;0;0;0;0;0;2;1;0;0;0;12;2;0;1;10;0;6;2;1;0;0;0;1;0;0;0;1;1;2;1;0;0;1;1;1;0;0;2;4;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
15396-4130;insucesso;0;10;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0
15494-5714;SUCESSO;0;18;1;0;3;0;0;1;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;1;0;0;0;0;7;0;1;1;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;6;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;3;0;16;4;2;0;5;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;5;4;1;0;0;0;0;0;25;1;0;0;3;2;3;0;0;2;1;0;2;0;0;9;1;0;5;5;2;0;0;0;0;0;0;0;29;10;4;3;0;0;0;0;1;0
15669-6398;SUCESSO;0;16;1;0;2;0;0;1;1;0;0;0;0;4;0;1;0;0;0;0;0;0;2;0;0;0;0;0;2;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;3;2;2;1;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;2;4;0;2;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;10;0;0;1;5;0;4;2;2;2;2;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;2;5;0;1;0;2;2;2;0;1;1;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0
17083-4604;SUCESSO;1;44;1;0;2;0;1;1;1;0;0;0;0;9;0;7;0;5;3;3;2;0;1;0;0;0;0;0;11;3;0;4;2;0;0;0;0;2;2;0;1;1;1;0;0;0;0;11;1;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;17;1;0;0;0;0;0;0;1;13;1;1;9;1;8;6;5;5;2;4;0;0;5;2;1;0;0;22;2;1;0;15;0;13;9;8;6;5;5;1;1;0;0;4;1;1;0;0;0;1;1;1;0;0;2;32;1;3;1;2;0;7;0;2;3;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;3;2;2;0;0;3;0;0;2;2;0;1
17604-4130;SUCESSO;0;102;7;1;4;0;2;0;0;0;0;0;0;30;1;13;3;5;5;3;2;0;0;1;0;1;0;0;8;1;1;3;0;0;7;4;2;5;1;0;1;1;1;2;2;0;0;5;3;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;5;0;1;1;1;0;0;0;7;1;0;7;1;3;2;1;0;0;1;0;0;3;0;0;0;1;42;5;0;0;15;4;6;6;3;2;1;0;0;0;0;1;0;0;2;1;1;0;1;0;0;0;0;0;15;2;1;0;2;1;5;1;0;1;0;0;0;0;0;14;2;0;0;7;3;10;7;2;1;2;3;1;1;0;0;9;1;0;1;1;1;0
17813-4130;SUCESSO;1;43;1;0;6;0;2;0;0;0;0;0;0;5;0;4;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;3;3;0;0;1;0;0;5;5;2;3;20;1;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;6;0;1;0;0;0;0;1;5;3;0;2;0;1;0;0;0;0;1;0;0;1;1;0;0;0;14;1;0;1;8;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;3;0;0;1;0;0;0;0;1;2;0;0;0;0;0;8;2;6;2;4;0;0;11;4;1;3;0;0;0;0;2;0
18027-4130;SUCESSO;2;17;0;0;3;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;2;0;0;0;0;5;1;1;2;0;0;0;0;0;0;0;0;2;2;0;1;1;0;0;9;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;4;1;0;0;0;1;0;0;0;2;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;2;0;11;3;1;0;4;0;2;1;0;0;0;0;0;0;1;0;0;0;2;0;1;0;1;1;0;0;0;1;10;1;1;1;2;2;3;0;1;1;0;0;1;1;2;1;1;0;0;1;0;0;0;0;0;0;5;4;0;0;0;3;0;0;3;2;0;0
18030-4130;SUCESSO;0;11;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;3;1;0;2;0;2;0;0;0;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;5;3;1;0;2;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;4;0;2;0;0;0;3;1;0;2;1;0;1;0;0;1;0;0;0;0;0;3;1;3;1;1;1;1;0;0;0;1;0;0;1;1;0;0
18047-6398;insucesso;0;123;2;0;6;1;1;1;0;0;19;1;9;14;1;9;0;4;2;0;0;0;2;0;0;51;45;25;10;1;0;4;1;0;3;0;0;3;1;0;1;1;1;1;1;0;0;33;2;0;0;0;7;1;0;1;0;2;1;1;7;4;2;2;0;26;2;12;4;74;2;1;0;0;0;0;0;3;28;2;0;10;0;5;5;2;0;0;4;2;3;11;5;0;6;5;82;4;1;2;59;0;23;7;3;3;0;0;6;4;2;2;18;11;2;0;1;0;64;58;33;11;15;0;37;1;5;0;2;1;18;4;2;5;1;0;1;0;0;10;0;0;2;1;1;4;1;4;0;4;3;2;0;0;0;6;0;1;3;2;0;2
18070-6388;SUCESSO;0;24;0;0;2;0;0;1;0;0;0;0;0;11;0;3;0;0;0;0;0;0;1;2;0;0;0;0;3;0;2;1;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;8;0;0;0;0;3;0;0;1;0;2;1;1;2;0;0;0;0;0;0;0;0;7;0;0;0;0;0;1;1;3;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;23;1;0;3;5;0;1;1;0;0;0;0;0;0;0;0;1;0;2;1;2;2;0;0;0;0;0;0;12;0;2;0;5;0;3;0;0;2;1;0;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
18163-4605;insucesso;0;7;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;1;1;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;5;1;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;0
18163-6398;SUCESSO;0;9;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;5;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;6;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18184-7098;insucesso;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;1;0;0;0;0;0;0;0;0;0;0;4;1;0;2;0;0;0;0;0;0
18187-4605;SUCESSO;0;41;1;0;3;0;2;0;0;0;0;0;0;8;0;3;0;2;1;1;1;0;2;0;0;0;0;0;6;1;0;1;0;0;5;0;4;3;1;0;1;1;0;2;2;0;1;11;0;0;0;0;4;2;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;13;2;0;0;0;0;0;0;0;8;1;0;5;0;4;3;2;1;1;0;0;0;1;1;0;0;0;21;0;0;1;6;0;3;2;2;2;2;1;0;0;0;0;4;1;5;1;0;0;0;0;0;0;0;2;16;0;3;1;1;1;5;1;0;1;0;0;0;0;0;12;0;0;0;0;0;10;6;6;4;2;5;3;9;2;1;4;0;0;2;2;2;0
18201-4605;insucesso;0;23;3;0;3;2;0;0;0;0;7;5;1;1;1;0;0;0;0;0;0;0;0;0;0;6;6;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;6;3;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;10;6;3;0;9;1;0;0;0;0;0;0;0;4;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;3;13;5;0;0;8;1;3;1;1;1;0;0;0;0;0;2;0;0;0;0;1;1;11;8;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;0;1;0;0;1;0;1;0;1;1;1;2;0;0;6;1;0;1;1;2;6
18208-6389;insucesso;0;17;1;0;7;0;1;1;0;0;0;0;0;6;0;3;0;3;2;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;6;3;0;10;2;0;1;0;2;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;9;3;0;0;0;0;4;4;0;5;0;0;3;0;2;1;1;0;0;0;0;0;1;1;0;0;0;10;1;0;0;6;0;5;3;1;0;0;0;0;0;0;0;2;1;1;0;1;1;1;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18208-7098;insucesso;0;12;0;0;1;0;0;0;0;0;0;0;0;7;1;3;0;2;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;8;2;0;2;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;11;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
