IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>32>;14>32>31>;14>32>31>30>;14>38>;14>38>36>;14>39>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;14>7>;14>7>5>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>31>;2>31>30>;2>31>30>30>;2>38>;2>41>;2>41>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>2>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>;32>31>;32>31>30>;33>;34>;34>38>;36>;36>14>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;38>;38>14>;38>33>;38>36>;38>41>;39>;39>38>;41>;41>14>;41>2>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;49>49>48>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>5>;7>5>5>;7>6>;8>
21251-5469;SUCESSO;0;0;0;0;12;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;2;2;1;0;0;0;0;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;1;1;0;3;0;0;0;0;0;0;7;1;0;3;0;0;1;0
21340-5468;insucesso;2;1;1;1;43;5;0;5;1;1;0;1;0;0;2;0;1;0;1;0;0;0;0;0;0;2;0;0;11;0;1;1;0;1;0;1;0;3;3;0;0;0;0;0;14;0;0;0;7;0;4;1;0;0;0;0;0;2;0;1;1;0;0;5;1;1;14;3;0;0;0;0;0;7;1;3;0;1;0;0;0;1;1;1;1;2;1;15;1;1;10;2;7;3;1;0;0;0;0;1;1;1;1;2;0;2;2;2;2;1;1;4;0;1;3;3;2;2;1;0;0;6;2;2;1;0;0;0;32;1;1;2;1;1;4;0;0;0;0;0;2;1;1;1;2;0;0;0;0;4;0;1;0;0;0;1;0;0;2;0;0;1;3
21340-6398;SUCESSO;1;0;1;1;75;15;2;11;3;1;0;0;3;0;16;4;9;3;0;0;0;0;0;0;0;3;0;0;17;0;1;5;1;4;3;3;0;2;2;1;2;2;2;0;15;1;1;0;7;0;2;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;16;9;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;3;2;1;1;27;9;0;13;5;0;0;0;0;0;3;2;0;0;0;0;3;0;1;0;0;3;2;1;4;1;2;2;2;2;2;1;1;1;7;3;3;2;0;1;0;33;2;1;1;1;1;13;0;0;2;1;0;2;0;0;1;6;4;0;0;0;5;5;4;4;0;0;27;0;0;5;0;0;3;0
21367-4605;insucesso;1;0;1;1;32;1;0;8;2;0;0;2;5;5;3;2;1;0;0;0;0;0;0;0;0;2;0;0;8;0;0;4;2;0;0;2;1;1;1;1;0;0;0;0;15;1;1;1;7;1;2;0;1;1;1;1;0;2;0;0;0;0;3;6;0;6;8;2;0;1;0;0;0;5;1;3;0;1;0;0;0;1;0;1;1;0;0;9;2;0;6;0;4;3;1;0;0;1;1;0;0;0;0;1;0;0;0;0;2;1;0;7;0;0;3;2;1;1;1;0;1;8;3;1;2;0;0;0;22;0;0;0;0;1;9;0;0;4;1;1;1;0;0;1;4;0;3;0;3;2;1;1;1;5;3;0;0;0;4;3;3;0;0
21367-6398;SUCESSO;2;1;1;1;56;1;1;14;4;0;0;0;1;1;9;0;8;3;2;1;1;0;1;0;0;7;0;0;14;0;0;7;4;1;0;1;0;0;0;0;0;0;0;0;23;1;1;0;8;0;2;0;0;0;0;0;0;1;0;1;1;1;1;3;0;3;17;8;1;4;0;0;0;4;2;2;1;2;0;0;0;0;0;0;0;0;0;15;0;0;12;4;3;1;1;0;0;0;0;0;0;0;0;1;1;2;1;1;4;4;2;35;3;2;19;12;9;6;5;3;2;19;5;3;2;3;1;1;29;0;1;1;0;1;16;0;0;9;4;0;2;1;1;1;5;1;1;1;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0
21380-5714;SUCESSO;1;0;1;1;40;1;0;6;1;1;0;0;0;0;5;2;2;1;0;0;0;0;0;0;0;0;0;0;14;0;0;4;0;1;0;0;0;1;1;1;1;1;1;0;13;0;0;0;1;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;6;1;1;0;0;0;0;2;0;2;0;2;0;0;0;1;0;1;1;1;0;14;3;1;6;1;2;2;2;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;1;1;1;0;0;11;0;0;3;2;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;1;0;0
21393-4605;SUCESSO;1;1;0;0;81;17;0;7;3;1;0;0;0;0;15;5;2;0;0;0;0;1;0;0;0;1;0;0;5;0;2;1;1;1;1;2;0;2;2;1;3;3;0;0;10;0;0;0;5;0;0;2;0;2;0;0;0;1;0;1;1;1;1;0;0;0;17;1;0;0;1;1;1;6;1;3;0;1;0;0;0;1;0;4;2;0;0;35;16;0;8;0;2;1;1;0;0;1;1;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;15;2;0;3;2;0;3;0;0;1;0;0;1;1;1;0;8;1;1;2;0;2;1;1;1;0;0;15;4;0;4;0;0;0;0
21598-4604;SUCESSO;3;2;0;0;38;2;1;5;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;1;0;1;1;1;3;3;0;0;16;2;0;0;3;0;1;1;0;0;0;0;0;1;0;1;0;0;2;0;0;0;16;1;0;0;1;1;0;9;1;5;1;4;2;2;1;0;0;0;0;0;0;18;0;0;10;0;8;5;4;2;2;0;0;0;0;1;1;1;2;0;0;0;3;2;0;10;0;1;6;4;2;1;1;1;2;7;1;1;1;0;0;0;14;0;0;1;1;0;1;0;0;1;0;0;2;1;1;1;2;0;2;0;0;0;0;0;0;2;2;9;3;1;4;2;2;1;0
21640-5714;insucesso;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21659-5388;SUCESSO;0;0;0;0;114;8;0;10;3;0;2;1;0;0;34;1;21;3;10;1;0;0;0;0;0;6;0;0;16;1;1;2;2;5;4;4;0;1;1;0;3;2;0;1;31;0;0;0;9;0;1;1;0;6;6;0;0;3;0;0;0;0;0;0;0;0;57;10;3;1;0;0;3;19;4;3;1;1;1;1;1;2;0;6;5;1;0;69;5;4;44;6;14;2;1;1;1;2;1;0;0;1;1;2;0;0;0;0;1;1;0;4;0;0;0;0;0;0;0;0;1;11;2;1;1;4;0;0;43;1;6;1;0;0;7;0;0;4;4;0;2;0;0;0;1;1;0;0;0;6;1;4;1;3;2;1;0;0;4;2;2;0;0
21708-5468;insucesso;0;0;0;0;83;3;0;6;0;0;3;0;0;0;37;0;21;0;9;5;0;0;0;0;0;6;0;0;5;0;0;2;0;0;0;0;0;1;1;0;4;4;1;0;13;0;0;0;0;0;0;1;0;3;1;0;1;0;0;0;0;0;0;0;0;0;34;4;0;0;1;0;0;15;1;7;0;3;1;0;0;2;0;5;3;0;0;48;1;2;29;1;12;6;3;1;0;3;2;0;0;4;0;2;0;0;0;0;1;1;0;2;0;1;0;0;0;0;0;0;1;10;0;1;1;1;0;0;16;1;1;2;2;0;3;0;1;0;0;0;0;0;0;0;2;0;0;0;0;3;2;2;2;0;0;0;0;0;1;0;0;0;0
21788-5469;SUCESSO;2;1;1;1;39;2;0;6;0;1;2;0;0;0;7;0;2;0;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;1;1;1;0;0;0;0;16;1;1;0;3;0;0;1;0;3;2;0;0;1;0;1;1;1;0;0;0;0;15;0;0;0;0;0;3;9;0;8;0;4;2;2;0;0;1;0;0;2;1;18;0;1;11;0;7;6;2;1;1;0;0;0;0;2;1;2;1;0;0;0;1;1;0;4;0;0;1;0;0;0;0;0;1;5;0;1;0;1;0;0;23;1;1;2;1;0;3;0;0;0;0;0;3;1;1;1;2;1;0;2;2;0;0;0;0;1;1;0;0;0;2;1;1;0;0
21911-4130;SUCESSO;0;0;0;0;41;1;0;6;0;0;1;0;0;0;9;0;2;0;1;0;0;2;0;0;0;2;0;0;11;1;1;4;0;1;1;1;0;1;1;1;0;0;0;0;13;0;0;0;1;0;0;2;0;1;0;0;0;3;0;0;0;0;0;0;0;0;7;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;13;0;3;3;1;1;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;1;1;0;6;0;0;1;1;0;0;0;0;1;4;0;1;0;0;0;0;28;0;3;1;0;0;6;0;0;0;0;0;0;0;0;0;3;1;0;0;1;1;1;1;1;0;0;3;0;0;2;0;0;1;0
22034-4605;SUCESSO;4;3;2;2;38;0;0;12;0;4;0;1;0;0;8;0;5;0;1;0;0;0;0;0;0;4;0;0;3;1;0;2;1;0;0;1;0;1;1;1;1;1;0;0;21;2;1;0;1;0;0;9;0;1;0;0;0;3;0;2;2;2;0;0;0;0;9;1;0;0;0;0;1;2;0;1;0;1;1;1;0;1;0;1;0;0;0;16;1;1;8;1;2;1;1;1;1;0;0;0;0;1;0;3;0;0;0;0;3;3;3;34;2;3;24;18;15;11;10;9;0;11;0;2;5;1;1;0;15;0;1;1;1;0;4;0;0;1;0;0;4;2;2;2;1;0;0;0;0;0;0;0;0;1;1;13;5;2;4;1;1;1;0
22189-4604;SUCESSO;2;1;2;1;51;1;0;8;1;0;1;1;0;0;9;0;8;0;4;2;0;0;0;0;0;2;0;0;10;0;0;1;0;1;1;2;0;1;1;1;3;3;0;0;18;2;2;0;1;0;0;1;0;3;0;0;0;3;0;1;0;0;0;0;0;0;30;7;3;0;0;0;2;14;2;5;1;2;1;0;0;0;0;2;1;0;1;26;0;1;16;4;8;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;6;1;1;0;1;0;0;31;0;1;2;1;0;4;0;0;0;0;0;2;1;1;2;2;0;0;0;0;3;1;2;0;5;4;0;0;0;6;5;4;0;0
22212-4604;SUCESSO;2;1;2;2;45;6;1;1;0;1;0;0;20;8;12;0;1;0;0;0;0;2;0;0;0;2;0;0;5;0;0;4;1;0;0;0;0;1;1;1;0;0;0;0;25;2;2;0;1;0;0;8;0;6;2;0;0;4;0;1;1;1;0;23;0;10;7;0;0;0;0;0;1;4;0;2;0;1;0;0;0;1;2;1;1;2;1;26;1;4;7;0;3;1;1;0;0;0;0;0;0;2;1;5;3;0;0;0;4;2;0;17;0;1;9;7;5;4;2;2;2;15;1;4;0;3;7;6;27;2;5;4;1;1;16;0;0;8;6;0;2;1;1;2;4;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22222-4130;SUCESSO;3;0;3;3;82;5;1;13;1;0;2;0;9;2;21;0;19;2;8;5;3;0;0;0;0;5;0;0;20;4;2;3;0;1;0;1;0;3;3;3;7;7;1;1;28;1;1;0;10;0;4;0;0;2;2;0;0;1;0;0;0;0;0;14;0;3;43;19;2;2;4;4;0;16;9;8;6;3;1;1;1;1;0;7;6;0;2;44;2;0;38;10;15;8;3;1;1;6;6;0;0;1;1;3;0;0;0;0;1;1;1;7;0;1;2;2;1;1;1;1;0;6;4;1;1;0;2;2;31;1;4;4;2;0;8;0;0;0;0;0;3;0;0;3;2;1;0;0;0;2;1;0;0;2;1;0;0;0;1;1;1;0;0
22256-4605;insucesso;0;0;0;0;5;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;7;4;0;2;1;1;1;0
22256-6388;insucesso;0;0;0;0;23;0;0;3;2;0;0;0;0;0;7;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;0;4;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;11;2;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
22305-5468;SUCESSO;2;1;1;1;24;3;1;4;0;1;0;0;1;0;3;0;0;0;0;0;0;2;1;0;0;0;0;0;9;1;1;2;2;0;0;1;0;2;2;0;0;0;0;0;15;2;1;0;3;0;2;1;0;0;0;0;0;0;0;1;1;1;0;3;0;1;8;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;3;0;1;0;14;2;1;7;0;1;0;0;0;0;3;0;0;0;6;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;2;3;3;0;6;0;0;5;2;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
22316-4130;insucesso;0;0;0;0;33;2;0;0;0;0;0;0;1;1;3;0;2;0;2;1;0;0;2;2;1;1;0;0;6;0;1;3;2;0;0;3;1;1;1;0;0;0;0;0;7;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;5;2;3;10;0;0;0;0;0;0;6;0;3;0;1;0;0;0;0;1;0;0;2;0;12;1;0;4;0;4;2;1;0;0;0;0;0;0;1;0;2;2;5;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;21;2;2;2;0;1;10;2;1;5;3;1;0;0;0;0;2;0;0;2;0;1;0;1;0;5;3;1;1;0;6;3;3;0;5
22418-4130;SUCESSO;4;4;1;0;153;11;1;7;2;1;0;0;11;10;3;0;2;0;0;0;0;0;21;0;0;5;2;0;17;0;1;3;1;22;10;3;0;3;2;1;5;5;0;1;28;1;1;0;11;0;2;2;0;1;0;0;0;0;0;2;2;1;16;16;0;13;50;10;0;0;1;1;1;7;2;3;2;1;0;0;0;1;0;5;4;0;3;37;5;0;21;3;3;2;0;0;0;4;3;0;0;2;2;1;3;33;23;12;3;2;1;26;3;2;9;4;2;2;1;0;1;21;5;3;8;1;14;13;63;3;0;2;0;0;14;0;0;6;2;0;6;4;3;1;32;3;16;0;0;31;25;13;11;5;3;0;0;0;6;4;3;0;0
22440-4604;SUCESSO;3;1;1;1;24;1;0;5;3;0;0;1;2;1;3;0;3;2;0;0;0;0;0;0;0;0;0;0;5;0;0;2;1;0;0;1;0;1;1;1;0;0;0;0;15;2;1;0;5;0;0;0;0;0;0;0;0;1;0;1;1;1;0;5;0;3;6;4;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;7;0;0;6;3;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;1;0;7;1;1;2;2;1;1;1;1;1;7;3;2;2;0;7;6;15;0;0;0;0;0;6;0;0;4;3;0;2;1;1;1;1;0;0;0;0;0;0;0;0;4;3;2;1;1;4;3;2;1;0
22475-4605;SUCESSO;2;1;1;1;76;2;0;7;0;2;0;1;0;0;16;0;8;0;4;1;0;3;0;0;0;2;0;0;23;1;0;4;1;0;0;1;0;5;5;3;4;4;0;1;15;2;1;0;2;0;1;4;0;1;0;0;0;3;0;1;1;1;0;0;0;0;27;3;1;1;2;2;3;14;2;3;1;1;1;1;1;3;2;3;3;6;0;39;4;0;21;1;13;2;0;0;0;1;0;0;0;7;4;2;1;0;0;0;2;1;0;3;0;0;0;0;0;0;0;0;2;11;1;2;1;0;0;0;70;2;4;5;1;2;13;0;0;3;1;0;2;1;1;2;1;0;0;0;0;0;0;0;0;4;4;0;0;0;4;4;4;0;0
