IdAluno;Resultado;11>;11>14>;11>48>;11>9>;11>9>11>;13>;14>;14>11>;14>11>48>;14>14>;14>14>14>;14>14>31>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>38>;14>38>33>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;14>7>;15>;15>31>;16>;16>31>;16>31>14>;16>31>30>;16>31>30>30>;16>31>48>;17>;17>30>;17>30>14>;17>30>31>;17>31>;2>;28>;28>30>;29>;29>14>;29>48>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>14>;30>31>14>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>31>30>31>30>31>30>;30>31>30>31>30>31>30>31>;30>31>48>;30>32>;30>41>;30>48>;30>48>31>;30>48>31>30>;31>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>15>;31>16>;31>16>31>;31>30>;31>30>14>;31>30>14>31>;31>30>14>31>30>;31>30>30>;31>30>30>14>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>14>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>31>30>31>30>31>30>;31>30>48>;31>31>;31>31>14>;31>31>30>;31>31>30>30>;31>31>31>;31>31>41>;31>32>;31>41>;31>41>41>;31>41>41>41>;31>48>;31>48>29>;31>48>30>;32>;32>14>;32>14>31>;32>31>;32>31>30>;33>;34>;34>36>;34>36>37>;34>37>;36>;36>34>;36>34>37>;36>36>;36>36>34>;36>36>34>37>;36>36>36>;36>36>36>36>;36>37>;37>;37>34>;37>38>;38>;38>14>;38>31>;38>33>;4>;41>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;42>;48>;48>14>;48>14>31>;48>29>;48>29>48>;48>30>;48>30>30>;48>31>;48>31>30>;48>48>;48>48>48>;49>;49>14>;49>48>;49>49>;5>;6>;6>6>;7>;8>;9>;9>11>
18344-4912;insucesso;2;0;2;1;0;0;21;2;2;1;0;0;0;12;2;9;0;3;2;0;3;3;1;0;1;0;0;0;0;0;3;0;1;0;1;4;0;0;0;3;3;0;3;0;0;2;1;0;0;1;0;0;0;0;0;0;16;2;2;2;0;8;0;5;0;3;2;2;2;2;0;0;0;1;7;1;0;5;2;2;2;2;2;1;0;1;0;4;1;1;19;3;1;1;0;0;0;0;15;2;2;2;7;0;4;2;0;0;7;1;5;2;2;2;2;2;1;0;1;0;1;0;2;2;1;0;0;0;0;2;2;2;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;1;14;0;2;1;2;1;0;0;0;0;7;4;0;0;0;0;0;1;1;1;1;5;3;2;0;0;0;0;0;0;1;0
19653-6547;SUCESSO;1;0;0;1;0;0;15;1;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;2;2;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;7;1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;7;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;3;1;1;1;3;0;0;0;0;0;0;0;2;3;1;1;5;1;0;3;0;9;0;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
20475-5786;SUCESSO;4;0;0;1;0;0;29;1;0;2;0;0;0;10;1;3;0;2;1;1;0;0;1;0;0;0;0;0;2;0;10;3;2;0;0;1;1;0;0;4;4;2;2;0;0;3;2;1;0;1;0;1;0;1;0;0;17;3;1;1;0;4;1;3;0;1;0;0;0;0;0;1;1;0;3;1;0;2;1;0;0;0;0;0;0;1;0;0;0;0;24;5;3;0;1;0;0;0;10;1;0;0;2;0;2;1;0;0;1;0;0;0;0;0;0;0;2;1;2;0;0;0;0;3;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;2;0;0;0;0;0;0;0;1;1;1;0;4;1;0;1;0;19;0;5;1;6;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0
21206-5102;SUCESSO;0;0;0;0;0;0;51;0;0;1;0;0;0;13;0;6;0;2;1;0;0;0;2;1;0;1;1;0;1;0;10;1;2;0;0;0;1;0;0;4;4;0;2;1;0;3;1;0;0;1;0;0;0;0;0;0;42;1;0;0;1;17;1;6;0;0;0;0;0;0;0;2;1;0;5;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;35;3;2;1;0;0;0;0;16;0;0;0;6;1;2;0;0;0;0;0;0;0;0;0;0;1;4;1;1;1;0;0;0;1;0;0;1;0;0;3;1;0;0;0;1;1;0;0;1;3;1;1;0;0;0;0;0;0;1;0;0;4;0;0;1;0;23;1;4;1;4;0;0;0;0;1;3;0;0;0;0;1;1;0;0;2;2;0;0;0;0;0;3;1;1;0;0;0
21782-5786;insucesso;2;0;0;1;1;0;15;0;0;1;1;0;1;5;1;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;1;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;4;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;3;3;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;9;0;1;1;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
21853-6019;SUCESSO;4;1;0;0;0;0;33;3;0;1;0;0;0;13;3;7;2;3;2;0;0;0;1;0;0;1;0;0;1;0;2;0;0;0;3;2;2;0;0;2;2;1;1;1;0;2;1;0;0;1;0;0;0;2;0;1;11;2;2;1;0;5;0;4;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;21;5;1;0;0;0;0;0;10;2;2;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;1;4;2;0;3;0;3;3;1;0;0;4;1;0;0;0;0;0;0;1;4;2;1;6;1;0;3;2;14;0;1;1;2;1;0;0;0;0;13;4;2;1;0;1;1;0;0;2;0;5;0;0;1;0;0;0;2;0;1;1
21973-6547;SUCESSO;4;0;0;1;0;0;35;2;0;2;0;1;0;23;0;12;3;0;0;0;2;1;6;5;0;1;0;0;2;1;2;1;1;1;0;0;0;0;0;2;2;1;1;0;0;4;3;1;0;1;0;3;3;0;0;0;29;4;1;1;1;6;0;2;0;2;2;2;2;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;28;2;1;1;0;0;0;0;19;3;1;0;1;0;0;0;0;0;2;0;1;0;0;0;0;1;7;0;5;1;0;0;0;1;0;0;2;0;2;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;3;0;1;1;1;0;1;0;0;0;14;2;1;0;0;4;3;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0
22435-4912;insucesso;5;0;2;1;1;1;37;2;1;3;0;1;0;18;3;10;0;1;0;0;0;0;1;0;0;0;0;0;1;0;3;1;2;1;1;1;0;0;0;2;2;0;1;1;0;1;0;0;0;1;2;0;0;1;1;0;20;2;1;1;0;6;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;37;5;1;0;0;0;0;0;15;1;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;4;1;1;1;1;1;0;0;0;1;0;1;3;1;1;0;0;12;0;3;0;4;1;2;0;0;0;4;3;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;1;1
22435-6547;SUCESSO;0;0;0;0;0;0;28;0;0;2;0;0;0;11;0;7;1;5;2;1;1;1;0;0;0;0;0;0;0;0;5;0;2;1;0;0;1;0;0;1;1;0;1;0;0;3;2;2;0;1;0;0;0;0;0;0;11;5;2;0;0;6;2;3;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;17;1;0;0;0;0;0;0;8;1;1;0;5;1;2;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;2;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
23859-6395;insucesso;0;0;0;0;0;0;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;2;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;4;0;4;2;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
24303-7111;insucesso;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25513-4912;SUCESSO;10;1;0;1;0;0;51;8;0;2;0;0;0;14;1;9;1;4;2;0;2;2;1;0;0;0;2;2;1;1;14;4;2;1;0;5;1;0;0;3;3;0;1;1;0;2;1;0;0;1;0;0;0;7;0;1;26;6;2;1;2;14;2;11;0;7;6;4;4;0;1;1;1;0;5;0;0;5;3;0;0;0;0;0;0;4;0;4;0;0;35;4;1;0;1;0;0;0;19;4;2;0;11;1;9;6;6;4;3;0;3;0;0;0;0;1;7;0;2;0;0;0;1;1;0;0;3;3;0;7;0;0;7;4;2;2;1;1;0;3;1;0;1;0;0;0;0;2;2;1;1;3;1;0;2;1;24;0;5;3;4;0;3;0;0;2;11;0;0;7;1;0;0;0;0;2;1;7;0;0;3;4;0;0;2;0;1;1
26766-5786;SUCESSO;13;5;0;0;0;0;242;4;0;11;0;4;0;141;17;78;13;15;5;3;14;6;22;5;0;1;0;0;4;1;13;4;4;3;0;10;1;43;36;5;5;1;3;0;0;24;18;6;3;6;0;10;5;0;0;0;129;47;23;14;2;33;6;9;0;4;2;1;1;0;0;4;1;0;29;3;0;13;6;1;0;0;0;0;0;1;0;5;0;0;181;45;19;10;2;31;0;0;109;33;14;0;27;2;6;4;2;1;21;0;9;1;0;0;0;5;32;5;10;5;5;0;0;1;0;0;3;0;2;1;1;0;0;0;2;2;1;0;1;6;0;0;1;0;0;0;0;1;2;1;0;7;2;0;2;0;22;0;5;1;8;1;5;3;0;1;20;3;1;0;0;3;1;0;0;3;1;13;0;0;6;1;4;1;3;0;1;1
27352-6395;SUCESSO;0;0;0;0;0;0;11;0;0;1;0;0;0;7;1;2;1;1;1;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;2;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;2;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;1;1;0;0;0;0;2;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27548-6547;SUCESSO;3;0;0;0;0;0;22;1;0;1;0;1;0;7;0;1;0;0;0;0;0;0;0;0;0;0;4;1;0;0;2;0;0;0;1;0;0;1;1;2;2;0;0;0;0;1;0;0;0;1;0;1;1;3;0;2;11;0;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;2;0;0;16;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;3;1;1;7;2;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;2;0;0;0;0;0;6;0;0;3;1;2;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1
27699-4912;SUCESSO;8;2;0;1;0;0;43;6;0;2;0;0;0;10;0;3;1;0;0;0;0;0;3;0;0;2;0;0;6;1;4;0;1;0;0;1;0;1;0;4;4;0;3;0;0;4;3;2;0;1;0;3;0;0;0;0;15;6;0;0;1;6;1;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;31;9;2;1;1;1;0;0;10;3;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;7;3;0;0;2;0;0;1;0;0;2;0;0;0;0;0;0;0;3;3;1;1;2;10;3;2;2;0;0;0;0;1;5;0;2;9;0;0;3;0;11;0;0;0;4;0;0;0;0;0;3;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0
27769-5102;SUCESSO;0;0;0;0;0;0;18;0;0;1;0;0;0;6;0;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1;0;0;0;3;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;3;2;1;0;0;0;0;4;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;3;1;2;0;0;0;0;0;3;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27813-7111;insucesso;2;0;2;0;0;0;13;2;2;2;0;1;0;5;0;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4;2;0;3;0;0;0;0;2;0;2;0;1;1;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;1;0;0;0;0;0;0;2;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;4;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
27860-7111;SUCESSO;0;0;0;0;0;0;9;0;0;0;0;0;0;2;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;6;1;0;0;0;3;0;3;0;2;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;1;1;1;0;0;0;0;3;1;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;1;0;0;0;0;0;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
